 data_base |    table_schema    |              table_name               
-----------+--------------------+---------------------------------------
 postgres  | information_schema | administrable_role_authorizations
 postgres  | information_schema | applicable_roles
 postgres  | information_schema | attributes
 postgres  | information_schema | character_sets
 postgres  | information_schema | check_constraint_routine_usage
 postgres  | information_schema | check_constraints
 postgres  | information_schema | collation_character_set_applicability
 postgres  | information_schema | collations
 postgres  | information_schema | column_domain_usage
 postgres  | information_schema | column_options
 postgres  | information_schema | column_privileges
 postgres  | information_schema | columns
 postgres  | information_schema | column_udt_usage
 postgres  | information_schema | constraint_column_usage
 postgres  | information_schema | constraint_table_usage
 postgres  | information_schema | data_type_privileges
 postgres  | information_schema | domain_constraints
 postgres  | information_schema | domains
 postgres  | information_schema | domain_udt_usage
 postgres  | information_schema | element_types
 postgres  | information_schema | enabled_roles
 postgres  | information_schema | foreign_data_wrapper_options
 postgres  | information_schema | foreign_data_wrappers
 postgres  | information_schema | foreign_server_options
 postgres  | information_schema | foreign_servers
 postgres  | information_schema | foreign_table_options
 postgres  | information_schema | foreign_tables
 postgres  | information_schema | information_schema_catalog_name
 postgres  | information_schema | key_column_usage
 postgres  | information_schema | parameters
 postgres  | information_schema | _pg_foreign_data_wrappers
 postgres  | information_schema | _pg_foreign_servers
 postgres  | information_schema | _pg_foreign_table_columns
 postgres  | information_schema | _pg_foreign_tables
 postgres  | information_schema | _pg_user_mappings
 postgres  | information_schema | referential_constraints
 postgres  | information_schema | role_column_grants
 postgres  | information_schema | role_routine_grants
 postgres  | information_schema | role_table_grants
 postgres  | information_schema | role_udt_grants
 postgres  | information_schema | role_usage_grants
 postgres  | information_schema | routine_privileges
 postgres  | information_schema | routines
 postgres  | information_schema | schemata
 postgres  | information_schema | sequences
 postgres  | information_schema | sql_features
 postgres  | information_schema | sql_implementation_info
 postgres  | information_schema | sql_languages
 postgres  | information_schema | sql_packages
 postgres  | information_schema | sql_parts
 postgres  | information_schema | sql_sizing
 postgres  | information_schema | sql_sizing_profiles
 postgres  | information_schema | table_constraints
 postgres  | information_schema | table_privileges
 postgres  | information_schema | tables
 postgres  | information_schema | transforms
 postgres  | information_schema | triggered_update_columns
 postgres  | information_schema | triggers
 postgres  | information_schema | udt_privileges
 postgres  | information_schema | usage_privileges
 postgres  | information_schema | user_defined_types
 postgres  | information_schema | user_mapping_options
 postgres  | information_schema | user_mappings
 postgres  | information_schema | view_column_usage
 postgres  | information_schema | view_routine_usage
 postgres  | information_schema | views
 postgres  | information_schema | view_table_usage
 postgres  | pg_catalog         | pg_aggregate
 postgres  | pg_catalog         | pg_am
 postgres  | pg_catalog         | pg_amop
 postgres  | pg_catalog         | pg_amproc
 postgres  | pg_catalog         | pg_attrdef
 postgres  | pg_catalog         | pg_attribute
 postgres  | pg_catalog         | pg_authid
 postgres  | pg_catalog         | pg_auth_members
 postgres  | pg_catalog         | pg_available_extensions
 postgres  | pg_catalog         | pg_available_extension_versions
 postgres  | pg_catalog         | pg_cast
 postgres  | pg_catalog         | pg_class
 postgres  | pg_catalog         | pg_collation
 postgres  | pg_catalog         | pg_config
 postgres  | pg_catalog         | pg_constraint
 postgres  | pg_catalog         | pg_conversion
 postgres  | pg_catalog         | pg_cursors
 postgres  | pg_catalog         | pg_database
 postgres  | pg_catalog         | pg_db_role_setting
 postgres  | pg_catalog         | pg_default_acl
 postgres  | pg_catalog         | pg_depend
 postgres  | pg_catalog         | pg_description
 postgres  | pg_catalog         | pg_enum
 postgres  | pg_catalog         | pg_event_trigger
 postgres  | pg_catalog         | pg_extension
 postgres  | pg_catalog         | pg_file_settings
 postgres  | pg_catalog         | pg_foreign_data_wrapper
 postgres  | pg_catalog         | pg_foreign_server
 postgres  | pg_catalog         | pg_foreign_table
 postgres  | pg_catalog         | pg_group
 postgres  | pg_catalog         | pg_hba_file_rules
 postgres  | pg_catalog         | pg_index
 postgres  | pg_catalog         | pg_indexes
 postgres  | pg_catalog         | pg_inherits
 postgres  | pg_catalog         | pg_init_privs
 postgres  | pg_catalog         | pg_language
 postgres  | pg_catalog         | pg_largeobject
 postgres  | pg_catalog         | pg_largeobject_metadata
 postgres  | pg_catalog         | pg_locks
 postgres  | pg_catalog         | pg_matviews
 postgres  | pg_catalog         | pg_namespace
 postgres  | pg_catalog         | pg_opclass
 postgres  | pg_catalog         | pg_operator
 postgres  | pg_catalog         | pg_opfamily
 postgres  | pg_catalog         | pg_partitioned_table
 postgres  | pg_catalog         | pg_pltemplate
 postgres  | pg_catalog         | pg_policies
 postgres  | pg_catalog         | pg_policy
 postgres  | pg_catalog         | pg_prepared_statements
 postgres  | pg_catalog         | pg_prepared_xacts
 postgres  | pg_catalog         | pg_proc
 postgres  | pg_catalog         | pg_publication
 postgres  | pg_catalog         | pg_publication_rel
 postgres  | pg_catalog         | pg_publication_tables
 postgres  | pg_catalog         | pg_range
 postgres  | pg_catalog         | pg_replication_origin
 postgres  | pg_catalog         | pg_replication_origin_status
 postgres  | pg_catalog         | pg_replication_slots
 postgres  | pg_catalog         | pg_rewrite
 postgres  | pg_catalog         | pg_roles
 postgres  | pg_catalog         | pg_rules
 postgres  | pg_catalog         | pg_seclabel
 postgres  | pg_catalog         | pg_seclabels
 postgres  | pg_catalog         | pg_sequence
 postgres  | pg_catalog         | pg_sequences
 postgres  | pg_catalog         | pg_settings
 postgres  | pg_catalog         | pg_shadow
 postgres  | pg_catalog         | pg_shdepend
 postgres  | pg_catalog         | pg_shdescription
 postgres  | pg_catalog         | pg_shseclabel
 postgres  | pg_catalog         | pg_stat_activity
 postgres  | pg_catalog         | pg_stat_all_indexes
 postgres  | pg_catalog         | pg_stat_all_tables
 postgres  | pg_catalog         | pg_stat_archiver
 postgres  | pg_catalog         | pg_stat_bgwriter
 postgres  | pg_catalog         | pg_stat_database
 postgres  | pg_catalog         | pg_stat_database_conflicts
 postgres  | pg_catalog         | pg_statio_all_indexes
 postgres  | pg_catalog         | pg_statio_all_sequences
 postgres  | pg_catalog         | pg_statio_all_tables
 postgres  | pg_catalog         | pg_statio_sys_indexes
 postgres  | pg_catalog         | pg_statio_sys_sequences
 postgres  | pg_catalog         | pg_statio_sys_tables
 postgres  | pg_catalog         | pg_statio_user_indexes
 postgres  | pg_catalog         | pg_statio_user_sequences
